City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,bunia,1.5667,30.25,292.74,95,100,5.57,CD,1715135318
183,jutai,-5.1833,-68.9,297.7,95,100,1.1,BR,1715135318
184,dubbo,-32.25,148.6167,293.22,60,0,6.69,AU,1715135319
185,el granada,37.5027,-122.4694,294.03,63,0,6.17,US,1715134963
186,nar'yan-mar,67.6713,53.087,262.1,97,97,4.02,RU,1715134943
187,santa helena de goias,-17.8136,-50.5969,294.1,67,0,0.38,BR,1715135320
188,kapenguria,1.2511,35.0895,286.92,88,20,1.77,KE,1715135320
189,lompoc,34.6391,-120.4579,291.36,74,0,6.69,US,1715134951
190,houghton,47.1219,-88.569,284.86,89,100,2.57,US,1715135100
191,poronaysk,49.2167,143.1167,279.75,51,63,2.69,RU,1715135320
192,copala,16.65,-98.9833,299.75,65,98,3.03,MX,1715135321
193,zaozersk,69.4005,32.4476,264.91,86,95,1.83,RU,1715135321
194,vadso,70.0744,29.7487,270.64,80,79,2.57,NO,1715134928
195,la esperanza,14.8667,-91.5667,287.89,96,60,1.68,GT,1715135321
196,perelyub,51.8667,50.3667,285.69,44,100,5.48,RU,1715135322
197,sandy,40.572,-111.8606,280.75,47,75,5.66,US,1715135322
198,tsiombe,-25.3,45.4833,292.46,92,0,2.53,MG,1715134934
199,deba,10.2086,11.3859,303.68,50,97,4.28,NG,1715135322
200,fort st. john,56.2499,-120.8529,286.09,22,20,8.75,CA,1715135040
201,andalgala,-27.5819,-66.3165,299.92,5,15,13.95,AR,1715135323
202,xianning,29.8833,114.2167,299.4,62,100,2.14,CN,1715135323
203,cadale,2.7603,46.3222,300.39,84,37,4.33,SO,1715135323
204,cooper's town,26.8667,-77.5167,297.45,76,0,4.49,BS,1715134974
205,wagenfeld,52.55,8.5833,283.39,91,67,1.35,DE,1715135324
206,ambon,-3.6954,128.1814,301.97,95,20,0.51,ID,1715135221
207,mount isa,-20.7333,139.5,301.02,54,45,6.69,AU,1715134978
208,hamilton,39.1834,-84.5333,295.96,87,0,3.6,US,1715134881
209,vorkuta,67.5,64.0,258.21,93,58,1.79,RU,1715134925
210,souillac,-20.5167,57.5167,298.36,69,75,7.72,MU,1715135325
211,cheremushki,52.8356,91.3944,290.17,37,100,1.31,RU,1715135325
212,antsiranana,-12.2787,49.2917,297.43,82,74,7.46,MG,1715135011
213,manokwari,-0.8667,134.0833,301.19,78,100,0.82,ID,1715135325
214,manavalakurichi,8.1333,77.3,302.29,74,99,5.6,IN,1715135326
215,zhanibek,49.4167,46.85,285.97,64,100,3.68,KZ,1715135326
216,selkirk,50.1436,-96.8845,287.23,83,100,7.26,CA,1715135326
217,makubetsu,45.3714,141.8211,275.99,81,75,6.17,JP,1715135327
218,cooma,-36.2333,149.1333,285.84,51,28,2.04,AU,1715135327
219,puerto colombia,10.9878,-74.9547,300.2,86,99,6.48,CO,1715135327
220,yuzhno-kurilsk,44.0306,145.8556,276.14,95,100,10.49,RU,1715134911
221,westport,41.1415,-73.3579,291.42,61,0,1.54,US,1715134938
222,miyako,39.6367,141.9525,283.01,83,89,3.3,JP,1715135328
